layer,score
1,-0.34752366
2,-0.27523556
3,-0.27696973
4,-0.2911311
5,-0.43853894
6,-0.27309203
7,-0.46015427
8,-0.34545502
9,-0.20576018
10,-0.42367527
11,-0.4003428
12,-0.3719123
