layer,score
1,-0.10478509754007892
2,-0.11688003515534723
3,-0.10721942763621822
4,-0.08841531740302985
5,-0.1093412193587385
6,-0.1324481680806686
7,-0.10101338901016828
8,-0.12441687451214758
9,-0.11897944158209763
10,-0.1141475557893358
11,-0.1095453170289526
12,-0.10496976910250735
