layer,score
1,-0.24543877
2,-0.3980559
3,-0.26559561
4,-0.23982689
5,-0.29251766
6,-0.36876217
7,-0.28549814
8,-0.29305845
9,-0.2605905
10,-0.36601186
11,-0.32720932
12,-0.1501932
