Metric,Real Mean,Real 95% CI,Shuffle Mean,Gaussian Mean,p-value (vs Shuffle),Cohen's d (vs Shuffle),p-value (vs Gaussian),Cohen's d (vs Gaussian)
Length,1463.529541015625,"(874.582275390625, 2061.6005859375)",7242.05615234375,11235.1962890625,0.0,-1.4603831768035889,0.0,-3.767080783843994
Curvature,1.1391940915584564,"(1.0674178309738636, 1.1998003262281418)",1.9902662777900695,2.0518481612205504,0.0,-4.231984212230025,0.0,-3.262341556906061
Convergence,-43.50927834281921,"(-47.069424318885794, -40.430637132153514)",-43.509278342819215,-31.59493017272949,1.0,2.293432782612332e-16,0.0085,-0.5312019003207269
RSA Stability,0.945768624794661,"(0.931988550099861, 0.9545100958725017)",0.08156993081433563,0.08809692038860133,0.0,39.56688632034126,0.0,48.412173551807726
