layer,silhouette
1,-0.02413043
2,-0.18985099
3,-0.2745602
4,-0.28476197
5,-0.2964468
6,-0.2982481
7,-0.30018964
8,-0.30279988
9,-0.29980302
10,-0.31052423
11,-0.3009189
12,-0.11313275
